'节点ID','ftype','类型名称','父节点','顺序'
'42','菜肴类型','菜肴类型','0','1'
'44','菜肴类型','家常菜','42','1'
'45','菜肴类型','家常方案','42','2'
'46','菜肴类型','南北风味','42','3'
'47','菜肴类型','异国风味','42','4'
'48','菜肴类型','食疗药膳','42','5'
'49','菜肴类型','特殊人群菜肴','42','6'
'50','菜肴类型','汤类','42','7'
'51','菜肴类型','饮料','42','8'
'52','菜肴类型','小菜(腌制)','42','9'
'53','菜肴类型','全荤','44','1'
'54','菜肴类型','半荤','44','2'
'55','菜肴类型','小荤','44','3'
'56','菜肴类型','素菜','44','4'
'57','菜肴类型','保健菜肴','45','1'
'58','菜肴类型','方便食品','45','2'
'59','菜肴类型','风味食品','45','3'
'60','菜肴类型','家常凉菜','45','4'
'61','菜肴类型','家常热菜','45','5'
'62','菜肴类型','家常西餐','45','6'
'63','菜肴类型','家常主食','45','7'
'64','菜肴类型','微波炉菜','45','8'
'65','菜肴类型','川菜','46','1'
'66','菜肴类型','东北菜','46','2'
'67','菜肴类型','沪菜','46','3'
'68','菜肴类型','淮扬菜','46','4'
'69','菜肴类型','徽菜','46','5'
'70','菜肴类型','京菜','46','6'
'71','菜肴类型','鲁菜','46','7'
'72','菜肴类型','闽菜','46','8'
'73','菜肴类型','苏菜','46','9'
'74','菜肴类型','湘菜','46','10'
'75','菜肴类型','豫菜','46','11'
'76','菜肴类型','粤菜','46','12'
'77','菜肴类型','云南菜','46','13'
'78','菜肴类型','浙菜','46','14'
'79','菜肴类型','海派菜','46','15'
'80','菜肴类型','陕西菜','46','16'
'81','菜肴类型','民族菜','46','17'
'82','菜肴类型','韩国料理','47','1'
'83','菜肴类型','日本料理','47','2'
'84','菜肴类型','东南亚风味','47','3'
'85','菜肴类型','法国菜','47','4'
'86','菜肴类型','意大利菜','47','5'
'87','菜肴类型','其他西餐','47','6'
'88','菜肴类型','保健美容','48','1'
'89','菜肴类型','补肝肾','48','2'
'90','菜肴类型','补气补血','48','3'
'91','菜肴类型','补阴补阳','48','4'
'92','菜肴类型','呼吸系统疾病','48','5'
'93','菜肴类型','神经系统疾病','48','6'
'94','菜肴类型','五官科疾病','48','7'
'95','菜肴类型','消化系统疾病','48','8'
'96','菜肴类型','循环系统疾病','48','9'
'97','菜肴类型','益寿','48','10'
'98','菜肴类型','肿瘤癌症','48','11'
'99','菜肴类型','糖尿病人菜肴','48','12'
'100','菜肴类型','其它','48','13'
'101','菜肴类型','婴儿','49','1'
'102','菜肴类型','幼儿','49','2'
'103','菜肴类型','情人','49','3'
'104','菜肴类型','孕产妇','49','4'
'105','菜肴类型','素食者','49','5'
'106','菜肴类型','更年期妇女','49','6'
'107','菜肴类型','老年人','49','7'
'108','菜肴类型','腌渍类','52','1'
'109','菜肴类型','酱渍类','52','2'
'110','菜肴类型','泡渍类','52','3'
'111','菜肴类型','糖渍类','52','4'
'112','菜肴类型','凉拌类','52','5'
'113','菜肴类型','保健饮品','51','1'
'114','菜肴类型','固体饮料','51','2'
'115','菜肴类型','果酒','51','3'
'116','菜肴类型','果汁及水','51','4'
'117','菜肴类型','鸡尾茶','51','5'
'118','菜肴类型','鸡尾酒','51','6'
'119','菜肴类型','咖啡','51','7'
'120','菜肴类型','奶制饮品','51','8'
'121','菜肴类型','其它饮品','51','9'
'122','菜肴类型','外国名酒','51','10'
'123','菜肴类型','中国名茶','51','11'
'124','菜肴类型','中国名酒','51','12'
'424','菜肴类型','塑身美容','42','10'
'426','菜肴类型','家常点心','45','9'
'428','满汉全席','第一道菜','427','1'
'429','满汉全席','第二道菜','427','2'
'430','满汉全席','第三道菜','427','3'
'431','满汉全席','第四道菜','427','4'
'432','满汉全席','第五道菜','427','5'
'433','满汉全席','第六道菜','427','6'
'434','菜肴类型','湖北菜','46','0'
'435','菜肴类型','家庭实用菜谱大全','42','2'
'439','家庭实用菜谱大全','凉菜类','435','1'
'440','家庭实用菜谱大全','水产类','435','2'
'441','家庭实用菜谱大全','猪肉类','435','3'
'442','家庭实用菜谱大全','牛羊肉类','435','4'
'443','家庭实用菜谱大全','禽肉及其他肉类','435','5'
'444','家庭实用菜谱大全','蔬菜类','435','6'
'445','家庭实用菜谱大全','鸡蛋及豆制品类','435','7'
'446','家庭实用菜谱大全','汤煲类','435','8'
'447','家庭实用菜谱大全','甜品及点心类','435','9'
'448','家庭实用菜谱大全','主食类','435','10'
'451','','泡菜类','52','0'
